timestamp,location,mining_activity,mining_depth_m,ch4_pct,co_ppm,gas_pressure_mpa,gas_emission_rate_m3t,vertical_stress_mpa,horizontal_stress_mpa,vibration_level,seismic_amplitude_mm,microseismic_activity,temperature_c,humidity_pct,airflow_m3min,gas_diffusion_coeff,coal_strength_mpa,permeability_md,stress_energy_index,mox_sensor_1,mox_sensor_2,mox_sensor_3,mox_sensor_4,mox_sensor_5,mox_sensor_6,mox_sensor_7,mox_sensor_8,risk_score,outburst_risk_binary,outburst_risk_class
2022-01-01 00:09:40,Face-A1,Idle,553.4,1.096,26.48,1.0565,1.771,14.75,8.74,1.116,0.587,0.933,30.7,63.2,180.6,0.05077,17.47,2.7336,7.079,1.114,1.015,1.233,1.105,1.087,1.053,1.089,1.07,0.3433,0,0
2022-01-01 00:10:00,Face-B2,Cutting,577.1,2.252,0.38,1.2709,3.37,15.38,8.51,0.963,0.784,1.216,32.9,70.2,221.3,0.03259,13.21,1.9186,9.825,2.177,2.284,2.305,2.087,2.318,2.243,2.366,2.278,0.5054,0,1
2022-01-01 00:10:20,Face-A1,Conveyor-Running,408.8,1.272,3.75,0.9248,1.916,10.88,6.59,0.948,0.393,0.926,24.4,78.8,265.5,0.03755,24.9,3.4185,1.819,1.222,1.071,1.376,1.342,1.241,1.307,1.235,1.209,0.2057,0,0
2022-01-01 00:10:40,Face-A1,Ventilation-Check,377.2,0.904,4.58,0.7614,1.487,8.69,5.5,0.675,0.718,0.169,30.7,83.0,177.9,0.06001,27.1,3.4795,1.874,0.944,0.934,0.93,0.748,1.009,0.886,1.016,0.934,0.2931,0,0
2022-01-01 00:11:00,Return-Air,Conveyor-Running,622.1,1.853,13.8,1.357,2.69,14.77,9.48,0.967,0.943,0.554,25.5,82.7,189.0,0.02799,14.28,2.1652,10.724,1.813,1.842,1.872,1.86,1.873,1.977,1.99,1.808,0.5595,0,2
2022-01-01 00:11:20,Return-Air,Idle,381.1,1.256,0.08,0.753,1.954,10.48,6.98,0.663,0.825,0.401,18.9,70.2,192.8,0.05877,25.96,3.3214,2.233,1.371,1.244,1.356,1.144,1.275,1.221,1.418,1.1,0.2322,0,0
2022-01-01 00:11:40,Gate-Road-2,Blasting,427.2,3.464,15.34,1.1928,4.882,11.65,7.83,0.684,0.242,0.252,31.7,74.3,213.4,0.04112,24.74,2.9684,3.261,3.382,3.445,3.579,3.361,3.338,3.247,3.493,3.382,0.3811,0,1
2022-01-01 00:12:00,Face-A2,Conveyor-Running,606.5,1.997,17.85,1.3332,3.812,14.96,7.58,1.183,0.527,0.916,31.1,77.2,151.3,0.03367,15.52,1.7594,7.231,2.204,2.119,2.303,2.175,2.227,2.205,2.067,2.068,0.4461,0,1
2022-01-01 00:12:20,Face-A1,Blasting,504.2,4.316,2.68,1.4849,6.582,12.09,7.01,0.977,2.124,1.492,33.9,86.6,222.1,0.03557,19.08,2.354,4.747,4.29,4.265,4.568,4.189,4.326,4.353,4.532,4.133,0.6021,1,2
2022-01-01 00:12:40,Gate-Road-1,Idle,284.3,0.582,0.69,0.5894,1.017,8.51,5.9,1.12,0.885,1.296,22.1,64.4,222.7,0.07522,27.5,4.5441,1.655,0.656,0.561,0.614,0.554,0.645,0.505,0.569,0.702,0.2026,0,0
2022-01-01 00:13:00,Face-B1,Cutting,709.6,3.376,100.0,1.7207,5.619,17.31,9.65,1.329,1.04,1.449,28.7,76.6,193.5,0.02373,12.15,1.2759,12.0,3.427,3.373,3.568,3.378,3.475,3.453,3.481,3.23,0.5893,0,2
2022-01-01 00:13:20,Face-A1,Conveyor-Running,436.4,0.993,13.99,1.0019,1.554,11.81,8.06,0.613,0.652,0.884,27.1,66.9,239.6,0.03922,22.9,2.7133,4.056,0.962,0.881,1.054,0.933,1.076,1.091,1.071,0.953,0.2341,0,0
2022-01-01 00:13:40,Face-B1,Cutting,451.7,2.782,15.3,1.1488,3.752,11.13,8.12,1.481,1.271,1.563,32.6,83.7,222.6,0.03862,23.68,4.0714,3.677,2.805,2.601,2.639,2.701,2.792,2.789,2.575,2.737,0.3606,0,1
2022-01-01 00:14:00,Face-A1,Cutting,530.7,3.487,6.52,1.4503,5.307,12.01,8.16,1.016,0.816,0.985,22.4,71.7,136.7,0.03381,19.67,2.0894,5.113,3.522,3.468,3.573,3.402,3.514,3.469,3.573,3.459,0.4633,0,1
2022-01-01 00:14:20,Gate-Road-2,Roof-Support,575.0,1.997,15.39,1.2809,3.462,16.31,10.32,0.943,0.629,1.272,27.0,74.4,181.3,0.03586,15.89,1.9377,10.649,1.951,2.044,2.215,2.053,2.064,2.066,2.18,2.056,0.3756,0,1
2022-01-01 00:14:40,Face-A2,Ventilation-Check,735.3,2.633,20.49,1.6128,4.394,18.53,10.76,1.237,0.773,1.955,28.4,63.6,213.3,0.02878,8.63,1.8118,12.0,2.84,2.67,2.708,2.603,2.851,2.733,2.805,2.687,0.5355,0,1
2022-01-01 00:15:00,Face-B2,Idle,300.8,0.1,7.38,0.548,1.101,6.67,4.23,0.767,0.496,0.737,31.0,67.7,222.6,0.08244,32.57,4.5695,1.291,0.251,0.208,0.279,0.406,0.298,0.299,0.286,0.297,0.2014,0,0
2022-01-01 00:15:20,Face-A2,Cutting,599.1,3.999,6.5,1.5329,6.3,13.31,6.91,0.71,0.271,0.306,29.7,91.8,77.6,0.02554,13.12,2.4584,6.645,4.044,3.971,3.989,3.901,4.037,4.043,4.156,3.744,0.5747,0,2
2022-01-01 00:15:40,Face-B1,Cutting,589.2,2.778,11.21,1.3703,4.844,13.18,7.28,1.674,0.604,2.432,27.9,78.2,175.7,0.03537,17.87,1.9571,5.346,2.962,2.848,3.057,2.838,2.939,2.962,3.046,2.818,0.4764,0,1
2022-01-01 00:16:00,Face-B2,Idle,483.5,1.51,0.58,1.0229,2.409,11.64,6.42,0.898,0.323,0.633,26.8,73.9,229.6,0.04255,18.18,2.7017,4.287,1.556,1.484,1.606,1.563,1.549,1.572,1.549,1.452,0.3489,0,0
2022-01-01 00:16:20,Face-A1,Conveyor-Running,594.5,2.303,1.38,1.3312,3.961,17.17,10.35,0.865,0.867,1.252,27.6,85.7,221.4,0.03775,14.69,1.8379,12.0,2.347,2.307,2.48,2.304,2.419,2.309,2.545,2.257,0.5795,0,2
2022-01-01 00:16:40,Return-Air,Ventilation-Check,612.1,2.068,12.22,1.3855,3.173,14.6,8.45,0.972,0.533,1.34,31.0,87.1,119.1,0.03785,14.4,1.6132,8.107,1.973,2.137,2.212,2.047,2.098,2.29,2.258,1.996,0.4829,0,1
2022-01-01 00:17:00,Gate-Road-1,Roof-Support,334.2,0.9,0.24,0.6244,1.286,10.09,6.26,0.569,0.365,0.284,24.7,71.6,143.0,0.06861,25.95,3.7843,2.232,0.762,0.88,0.862,0.909,0.833,0.816,0.933,0.667,0.2541,0,0
2022-01-01 00:17:20,Return-Air,Conveyor-Running,710.0,2.177,0.4,1.5536,3.988,17.59,11.26,0.966,0.407,0.0,27.1,64.4,196.5,0.04353,9.52,2.3414,12.0,2.333,2.339,2.479,2.28,2.317,2.273,2.39,2.256,0.5222,0,1
2022-01-01 00:17:40,Gate-Road-2,Roof-Support,312.9,0.366,5.67,0.6132,0.574,6.41,3.28,0.342,0.161,0.245,27.1,70.5,175.5,0.06927,32.28,5.408,0.293,0.333,0.317,0.406,0.389,0.316,0.474,0.373,0.396,0.0619,0,0
2022-01-01 00:18:00,Face-B2,Roof-Support,363.8,1.371,1.5,0.8885,2.039,8.53,5.23,0.588,0.397,0.568,19.7,68.4,170.8,0.04678,26.83,3.8698,1.794,1.43,1.321,1.256,1.419,1.562,1.374,1.432,1.402,0.206,0,0
2022-01-01 00:18:20,Return-Air,Roof-Support,468.6,0.639,2.78,0.9019,1.661,10.18,5.77,0.601,0.331,0.266,20.2,73.0,181.6,0.06016,21.85,3.6728,2.156,0.687,0.703,0.782,0.813,0.75,0.675,0.804,0.804,0.2688,0,0
2022-01-01 00:18:40,Face-A1,Roof-Support,731.0,2.103,4.07,1.6248,3.518,17.25,10.5,1.406,0.51,0.994,22.0,74.7,170.4,0.02873,13.18,1.1801,12.0,2.078,2.094,2.161,2.118,2.149,2.341,2.294,1.95,0.5272,0,1
2022-01-01 00:19:00,Face-A1,Ventilation-Check,463.0,1.852,5.91,1.0127,3.417,10.51,6.86,1.117,0.446,0.915,27.1,97.2,166.7,0.03967,19.62,3.2049,3.575,1.836,1.873,2.022,1.899,1.928,1.852,2.001,2.005,0.308,0,0
2022-01-01 00:19:20,Face-A1,Roof-Support,496.2,1.705,2.67,1.0749,2.82,10.12,6.81,0.514,0.975,0.304,30.0,61.6,203.6,0.04179,21.81,3.0418,3.185,1.729,1.692,1.834,1.812,1.935,1.736,1.741,1.853,0.2465,0,0
2022-01-01 00:19:40,Face-A2,Blasting,671.8,3.269,11.1,1.6224,5.151,18.61,11.7,1.375,0.576,1.414,25.5,58.9,211.8,0.02369,10.12,2.1646,12.0,3.41,3.327,3.307,3.278,3.33,3.254,3.413,3.023,0.6473,1,2
2022-01-01 00:20:00,Face-B1,Cutting,464.0,1.584,5.93,1.0556,2.845,11.85,7.44,0.604,1.007,1.194,21.5,66.1,183.2,0.04623,21.38,3.4656,3.797,1.719,1.617,1.668,1.746,1.672,1.606,1.648,1.619,0.3759,0,1
2022-01-01 00:20:20,Face-A2,Cutting,358.6,1.434,1.08,0.8043,2.311,8.14,3.75,0.585,1.043,0.982,31.8,41.7,232.1,0.05557,27.12,3.5784,1.018,1.512,1.551,1.456,1.405,1.5,1.415,1.571,1.429,0.2486,0,0
2022-01-01 00:20:40,Gate-Road-2,Idle,449.9,0.961,11.3,0.9364,2.015,11.51,6.04,0.609,0.557,0.0,29.1,53.1,156.8,0.05189,19.38,2.7377,3.371,1.102,1.016,1.177,1.143,1.008,1.091,1.072,1.117,0.249,0,0
2022-01-01 00:21:00,Face-A2,Cutting,664.5,3.61,4.23,1.6211,5.262,15.61,8.71,1.027,1.174,0.795,27.1,58.7,183.2,0.02832,13.99,1.9906,9.503,3.449,3.526,3.608,3.382,3.549,3.529,3.621,3.35,0.5402,0,1
2022-01-01 00:21:20,Face-A2,Cutting,508.5,2.731,12.03,1.2826,3.215,9.51,5.99,1.413,1.449,1.825,29.0,83.3,171.9,0.03494,22.21,2.4384,2.693,2.41,2.58,2.647,2.513,2.539,2.542,2.574,2.507,0.4052,0,1
2022-01-01 00:21:40,Face-B2,Idle,731.7,1.314,4.72,1.4674,2.186,21.84,12.07,1.171,0.453,1.459,23.8,58.5,121.3,0.032,5.0,3.1705,12.0,1.312,1.251,1.493,1.384,1.386,1.38,1.37,1.335,0.4696,0,1
2022-01-01 00:22:00,Face-A1,Idle,588.6,1.366,1.24,1.2122,2.427,14.94,9.23,1.296,1.136,1.458,32.1,55.0,202.4,0.02768,11.37,3.7291,12.0,1.523,1.413,1.443,1.394,1.492,1.497,1.591,1.275,0.4705,0,1
2022-01-01 00:22:20,Gate-Road-2,Idle,422.6,1.04,0.17,0.9351,2.192,9.86,6.13,0.952,1.646,2.273,29.3,63.6,225.9,0.05317,23.84,3.1866,2.541,1.198,1.252,1.17,1.298,1.128,1.214,1.231,1.15,0.3064,0,0
2022-01-01 00:22:40,Face-A1,Roof-Support,506.1,1.665,15.56,1.1213,3.758,10.33,4.65,0.945,0.577,1.286,27.4,76.0,213.7,0.03539,19.68,3.7775,1.983,1.904,1.855,1.943,1.953,1.951,1.921,1.955,1.966,0.2994,0,0
2022-01-01 00:23:00,Return-Air,Conveyor-Running,397.6,1.936,5.51,0.9815,2.871,8.15,4.02,0.5,0.995,1.014,26.6,66.9,190.4,0.05502,23.71,4.4896,1.65,1.896,1.918,1.914,1.897,1.907,2.013,1.896,1.901,0.2661,0,0
2022-01-01 00:23:20,Gate-Road-1,Conveyor-Running,419.8,1.477,4.28,1.0578,2.357,12.48,8.32,0.914,0.655,1.169,28.3,68.6,118.9,0.04376,22.79,2.8618,3.64,1.555,1.378,1.572,1.449,1.484,1.551,1.565,1.34,0.3616,0,1
2022-01-01 00:23:40,Face-A1,Ventilation-Check,900.0,2.99,11.51,1.8796,5.227,24.3,15.14,1.242,1.084,1.57,29.9,66.3,207.5,0.02171,5.0,1.1645,12.0,3.119,3.077,3.116,3.101,3.238,3.183,3.21,3.011,0.6456,1,2
2022-01-01 00:24:00,Face-A1,Idle,622.2,1.701,0.19,1.2727,3.148,16.46,9.2,1.021,0.407,0.935,21.0,58.8,253.4,0.04105,12.16,1.7029,12.0,1.92,1.798,1.855,1.662,1.827,1.845,1.78,1.573,0.4599,0,1
2022-01-01 00:24:20,Gate-Road-2,Blasting,603.3,4.337,24.34,1.56,6.554,13.75,7.42,1.445,0.526,1.464,24.9,62.8,175.6,0.03026,15.66,1.8047,6.297,4.384,4.239,4.251,4.306,4.301,4.287,4.491,4.139,0.5431,0,1
2022-01-01 00:24:40,Gate-Road-1,Conveyor-Running,425.2,1.11,4.21,0.856,1.915,12.44,5.51,0.837,0.942,1.918,26.7,63.8,184.8,0.0494,21.73,2.9262,2.497,1.262,1.235,1.13,1.226,1.077,1.227,1.179,1.124,0.2814,0,0
2022-01-01 00:25:00,Gate-Road-1,Cutting,688.4,3.901,10.27,1.7783,5.311,17.75,11.83,0.898,0.804,1.392,26.5,78.3,230.8,0.0279,9.91,1.2807,12.0,3.854,3.655,3.833,3.736,3.897,3.727,3.955,3.624,0.6634,1,2
2022-01-01 00:25:20,Gate-Road-1,Cutting,631.9,2.841,17.87,1.345,4.564,16.58,9.98,1.189,1.222,0.918,25.2,60.8,183.7,0.04236,14.68,1.8933,11.327,2.941,2.849,3.019,2.878,2.862,2.771,2.887,2.636,0.5649,0,2
2022-01-01 00:25:40,Face-A1,Roof-Support,725.8,1.883,6.33,1.5564,3.485,18.68,12.72,1.552,0.477,1.386,31.1,82.2,172.9,0.0279,7.44,1.619,12.0,2.114,2.069,1.951,1.975,2.046,2.026,1.943,1.943,0.5317,0,1
2022-01-01 00:26:00,Face-A2,Cutting,720.0,3.025,0.82,1.5824,4.261,16.19,9.56,0.875,0.652,0.426,25.2,78.8,180.0,0.03105,10.17,1.2651,12.0,2.965,2.869,2.965,2.721,3.127,2.888,3.12,3.004,0.539,0,1
2022-01-01 00:26:20,Face-A1,Conveyor-Running,322.5,1.337,10.43,0.7422,2.431,6.62,4.2,0.383,0.347,0.157,23.7,56.4,211.8,0.06315,29.42,4.5588,0.83,1.252,1.508,1.409,1.298,1.432,1.462,1.421,1.354,0.1689,0,0
2022-01-01 00:26:40,Gate-Road-2,Idle,366.8,0.901,8.64,0.7813,1.998,8.56,5.85,0.436,0.296,0.0,26.1,75.9,217.0,0.05629,26.79,4.1789,1.91,0.985,0.904,1.045,0.888,1.035,1.024,1.164,0.81,0.1624,0,0
2022-01-01 00:27:00,Face-B2,Roof-Support,379.5,1.457,4.96,0.9033,2.694,10.26,7.47,0.944,1.058,2.509,34.0,72.6,94.8,0.04879,24.39,3.5932,3.692,1.597,1.535,1.732,1.509,1.621,1.473,1.587,1.471,0.3196,0,0
2022-01-01 00:27:20,Face-A2,Idle,386.7,0.943,3.24,0.796,1.606,8.01,5.21,1.129,0.493,0.958,28.1,85.6,207.0,0.04941,27.71,3.2388,1.419,0.934,0.934,0.942,1.058,1.053,1.053,0.89,0.948,0.2977,0,0
2022-01-01 00:27:40,Face-A1,Roof-Support,538.8,1.673,2.32,1.162,3.026,13.26,7.96,0.864,0.45,1.152,26.1,63.8,186.3,0.04406,13.4,2.5596,8.093,1.766,1.759,1.707,1.665,1.793,1.763,1.783,1.811,0.4144,0,1
2022-01-01 00:28:00,Face-A2,Cutting,432.0,2.226,13.23,0.9422,3.066,10.59,6.37,0.627,0.299,0.477,26.7,78.5,148.4,0.04347,27.25,2.8568,2.558,2.034,2.169,2.189,2.011,2.153,2.199,2.213,2.139,0.2828,0,0
2022-01-01 00:28:20,Face-A2,Idle,748.7,1.696,11.97,1.6653,2.814,19.67,10.96,1.761,1.971,2.421,21.0,80.0,237.2,0.03126,8.22,1.1482,12.0,1.975,1.718,1.72,1.637,1.804,1.678,1.865,1.577,0.5057,0,1
2022-01-01 00:28:40,Gate-Road-1,Idle,728.6,1.403,5.98,1.4951,2.841,19.02,11.11,1.018,0.705,1.305,27.3,54.5,206.2,0.03386,5.0,1.6799,12.0,1.602,1.498,1.539,1.387,1.401,1.488,1.598,1.327,0.5318,0,1
2022-01-01 00:29:00,Face-B2,Roof-Support,499.2,1.111,11.8,1.0538,1.575,11.27,6.8,0.729,0.737,1.641,28.9,85.1,127.7,0.04197,22.28,2.2856,4.07,1.179,1.023,1.158,1.016,1.126,1.131,1.232,1.092,0.2528,0,0
2022-01-01 00:29:20,Gate-Road-2,Idle,734.6,1.441,10.17,1.5489,2.915,20.1,13.17,1.709,2.116,2.371,29.8,64.7,209.6,0.03318,8.86,1.8447,12.0,1.73,1.571,1.704,1.498,1.756,1.425,1.653,1.507,0.5567,0,2
2022-01-01 00:29:40,Face-B1,Cutting,678.6,3.518,3.28,1.6403,5.513,15.57,9.0,2.1,0.95,1.812,27.4,76.7,226.8,0.03419,12.9,1.4985,11.045,3.366,3.388,3.755,3.399,3.671,3.522,3.702,3.4,0.5698,0,2
2022-01-01 00:30:00,Face-A1,Cutting,445.9,1.829,6.58,1.0434,2.703,12.46,8.33,0.715,0.47,0.386,25.0,69.8,149.1,0.05459,23.2,2.967,4.478,1.842,1.849,1.858,1.95,1.863,1.776,1.944,1.762,0.2876,0,0
2022-01-01 00:30:20,Gate-Road-1,Cutting,258.9,2.265,7.33,0.7736,4.113,5.81,3.42,1.198,0.616,0.725,31.6,70.1,188.6,0.05438,31.71,5.5792,0.187,2.382,2.289,2.441,2.352,2.453,2.276,2.558,2.328,0.2429,0,0
2022-01-01 00:30:40,Gate-Road-1,Blasting,473.8,3.263,13.75,1.1708,4.613,12.04,8.22,0.799,0.751,0.75,26.5,63.9,176.7,0.03291,24.48,2.8737,4.437,3.193,3.164,3.208,3.094,3.398,3.13,3.429,3.062,0.3732,0,1
2022-01-01 00:31:00,Face-B2,Ventilation-Check,422.6,1.304,0.4,0.9437,2.404,10.84,7.04,0.845,1.209,2.757,24.1,66.1,180.7,0.04958,25.13,2.8535,3.735,1.362,1.407,1.317,1.351,1.325,1.373,1.272,1.263,0.3134,0,0
2022-01-01 00:31:20,Gate-Road-1,Ventilation-Check,524.8,1.392,7.1,1.2155,2.567,13.36,8.5,1.096,0.926,1.71,24.9,76.5,167.2,0.03734,19.98,2.0731,6.133,1.485,1.618,1.446,1.53,1.421,1.619,1.573,1.46,0.397,0,1
2022-01-01 00:31:40,Face-B1,Roof-Support,510.7,1.807,0.74,1.2234,3.523,13.58,8.93,0.818,0.543,0.786,26.7,86.2,162.3,0.0358,19.95,2.7295,6.334,1.944,1.877,1.912,1.913,1.991,1.8,2.148,1.996,0.3986,0,1
2022-01-01 00:32:00,Face-B1,Idle,507.6,0.811,9.2,1.0876,1.71,13.16,8.56,1.198,0.482,1.867,26.8,59.8,204.8,0.03833,17.73,2.4107,6.197,0.979,0.809,0.799,1.058,0.884,0.843,0.844,0.847,0.3589,0,1
2022-01-01 00:32:20,Face-B1,Idle,562.8,1.248,18.47,1.2584,1.998,15.01,9.86,1.52,1.186,1.553,25.8,66.7,184.5,0.03722,14.23,1.9606,10.162,1.238,1.281,1.367,1.26,1.318,1.282,1.292,1.018,0.4013,0,1
